47	27
n00	n10
n00	n11
n10	n20
n10	n21
n10	n22
n11	n23
n11	n24
n11	n25
n20	n30
n20	n31
n21	n32
n22	n33
n22	n34
n22	n35
n23	n36
n24	n37
n24	n38
n25	n39
n25	n310
n25	n311
n30	n41
n30	n42
n30	n43
n31	n44
n31	n45
n32	n46
n32	n47
n32	n48
n33	n49
n33	n410
n34	n411
n35	n412
n35	n413
n36	n414
n36	n415
n36	n416
n37	n417
n37	n418
n38	n419
n39	n420
n39	n421
n39	n422
n310	n423
n310	n424
n311	n425
n311	n426
n311	n427
n41	4
n42	3
n43	5
n44	2
n45	1
n46	4
n47	2
n48	3
n49	5
n410	4
n411	7
n412	3
n413	2
n414	1
n415	4
n416	0
n417	5
n418	3
n419	0
n420	2
n421	7
n422	4
n423	3
n424	6
n425	5
n426	3
n427	1
